Event Label
2012-11-22/10:25:36/53.34118461816428/-6.260655008592408
2012-11-22/10:19:57/53.34205832803001/-6.257794378331171
2012-11-19/22:36:10/53.3417909273013/-6.314808797899601
2012-12-02/22:36:16/28.58340196779797/-81.30149600103618
2012-11-22/10:30:36/53.34024507091691/-6.2616474554001
2012-12-02/22:36:15/28.58340196779797/-81.30149600103618
2013-03-10/19:36:44/53.13449076381804/-1.549879191444767
2012-12-04/16:28:02/53.33754572091004/-6.301927277824191
2012-11-22/22:58:41/53.29383803536491/-6.233193408703649
2012-11-22/22:58:41/53.29383966983603/-6.233198773121678
2012-11-23/10:46:52/53.34962949161729/-6.260106945416201
2013-01-20/12:15:47/53.31656581727165/-6.26833110117006
2013-04-08/08:14:28 p.m./53.36642812476807/-6.222412856301499
2012-11-19/09:28:58/53.3421378797155/-6.257399047141283
2012-11-22/10:19:58/53.34205832803001/-6.257794378331171
2012-11-26/09:46:43/52.76510759294796/-6.19397176651851
2013-04-14/09:34:22/53.37512562569461/-6.317428097221303
2012-11-19/08:25:02/53.34220832811393/-6.308978015257209
2012-11-21/15:09:57/53.34151723613323/-6.257896871815995
2012-11-23/09:44:50 PM/53.30891588441829/-6.293441080735155
2012-11-23/09:44:52 PM/53.30891588441829/-6.293441080735155
2012-11-26/21:50:17/53.32557638328842/-6.316603893522027
2012-11-27/04:57:27 p.m./53.34210388367375/-6.283104876062165
2012-11-29/16:12:23/53.34433208690336/-6.239011455333083
2012-12-03/10:21:58/53.34381529331664/-6.30765879668243
2013-01-02/16:57:32/53.39367584796007/-6.206492939969717
2013-01-05/21:13:54/53.35005380719125/-6.26739335469792
2013-01-11/13:25:33/54.27266281568843/-9.334596656271568
2013-01-16/13:26:45/53.34081183839994/-6.2540054762275
2013-02-03/11:50:35/53.33916757386444/-6.255183960533509
2013-03-05/20:51:50/53.3422087179933/-6.30830758128665
2012-11-19/08:25:01/53.34220832811393/-6.308978015257209
2012-11-19/09:28:57/53.3421378797155/-6.257399047141283
2012-11-19/16:45:42/53.34488807720282/-6.270970262546221
2012-11-21/22:20:48/53.34155400051444/-6.314658549086464
2012-11-22/10:25:35/53.34118002294061/-6.260650918789559
2012-11-22/19:09:32/53.32246215087671/-6.210020044824303
2012-11-22/21:10:45/54.25299191609253/-8.475367771593854
2012-11-22/22:58:40/53.29383966983603/-6.233198773121678
2012-11-23/10:53:12/53.42051147488264/-6.3930078875333
2012-11-25/13:26:10/53.37580252211466/-6.332602585159537
